Timestamp,Ping1,Ping2,Ping3,Ping4,Ping5,Ping6,Ping7,Ping8,Ping9,Ping10,Ping11,Ping12,Ping13
2026-03-13T19:27:22,59,59,59,59,58,59,59,59,59,59,59,59,59
2026-03-13T19:27:29,110,110,111,111,110,110,110,110,110,110,110,110,110
2026-03-13T19:27:35,111,111,111,110,110,110,110,110,110,110,110,110,110
2026-03-13T19:27:42,110,110,109,110,110,110,110,110,110,110,110,110,110
2026-03-13T19:27:48,110,110,110,110,110,110,110,110,110,110,110,110,110
2026-03-13T19:27:55,111,111,111,776,110,110,110,111,110,110,111,110,111
2026-03-13T19:28:01,110,110,110,110,110,110,111,111,111,110,110,111,111
2026-03-13T19:28:08,778,778,779,779,777,777,778,778,112,111,111,111,111
2026-03-13T19:28:15,110,110,111,111,111,111,111,111,111,111,111,111,111
2026-03-13T19:28:21,112,111,111,111,111,111,112,773,777,776,776,775,112
2026-03-13T19:28:28,110,111,111,111,111,111,111,111,111,111,112,111,111
2026-03-13T19:28:34,775,776,776,776,776,115,112,112,112,111,110,110,110
2026-03-13T19:28:41,112,111,111,112,112,112,112,111,111,112,113,110,110
2026-03-13T19:28:47,110,110,110,776,776,662,662,663,662,662,662,662,662
2026-03-13T19:28:54,110,110,110,110,110,111,663,663,664,663,665,664,665
2026-03-13T19:29:00,111,111,110,110,110,110,110,110,110,111,111,111,112
2026-03-13T19:29:07,663,110,110,111,111,663,110,110,112,111,111,775,775
2026-03-13T19:29:14,110,110,111,111,111,110,111,111,110,775,776,775,776
2026-03-13T19:29:20,775,776,777,776,775,776,776,776,776,775,776,776,777
2026-03-13T19:29:27,775,777,777,777,777,776,776,777,775,776,776,776,777
2026-03-13T19:29:33,774,776,777,777,778,777,778,775,778,776,775,775,776
2026-03-13T19:29:40,663,664,664,664,665,665,665,663,664,664,665,665,777
2026-03-13T19:29:46,111,110,112,112,112,110,111,110,109,112,110,112,774
2026-03-13T19:29:53,778,777,778,775,776,777,776,776,777,774,774,776,774
2026-03-13T19:29:59,777,777,777,779,778,778,775,777,775,775,777,775,775
2026-03-13T19:30:06,112,112,776,778,776,776,776,775,777,775,776,115,110
2026-03-13T19:30:13,778,776,775,778,776,775,775,775,775,775,775,774,775
2026-03-13T19:30:19,110,110,110,110,110,110,110,110,110,110,110,110,110
2026-03-13T19:30:26,777,778,776,776,776,776,777,776,776,776,776,776,776
2026-03-13T19:30:32,773,773,773,774,662,662,662,663,663,663,110,111,111
2026-03-13T19:30:39,110,110,110,110,110,110,110,110,661,111,662,662,663
2026-03-13T19:30:45,110,110,110,110,111,110,111,110,111,111,111,111,111
2026-03-13T19:30:52,662,664,665,664,663,665,666,665,665,665,665,664,665
2026-03-13T19:30:59,775,776,776,778,664,665,665,665,665,665,665,665,664
2026-03-13T19:31:05,114,112,111,112,111,111,111,111,110,110,110,110,111
2026-03-13T19:31:12,110,110,110,110,110,110,110,111,111,111,113,112,111
2026-03-13T19:31:18,663,773,775,774,115,111,111,110,112,112,111,110,111
2026-03-13T19:31:25,111,110,111,110,110,110,110,111,110,111,113,112,111
2026-03-13T19:31:31,112,110,110,111,664,111,111,112,111,111,112,110,112
2026-03-13T19:31:38,774,775,776,777,777,777,777,777,776,777,776,778,776
2026-03-13T19:31:44,772,112,112,111,112,113,111,111,111,111,112,112,112
2026-03-13T19:31:51,663,664,664,666,665,665,665,664,664,664,666,665,664
2026-03-13T19:36:44,774,775,775,775,775,775,775,775,775,775,775,775,776
2026-03-13T19:36:50,773,776,776,775,775,775,775,774,775,775,774,774,775
2026-03-13T19:38:00,774,774,775,775,776,775,775,775,776,775,775,775,774
2026-03-13T19:39:00,1000,1000,1000,998,997,1000,1000,998,998,997,1000,1001,998
2026-03-13T19:40:00,997,999,999,1001,999,1000,999,1000,1000,998,997,1001,997
2026-03-13T19:41:00,58,59,60,59,59,59,59,58,59,59,59,59,59
2026-03-16T12:46:00,59,58,59,60,59,60,59,59,62,61,57,58,60
2026-03-16T12:47:00,394,334,358,384,357,378,386,364,338,360,357,327,348
2026-03-16T12:47:00,312,374,398,360,356,388,358,314,454,357,307,392,348
